rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
1,Jahmyr Gibbs,DET,RB,6,1.4,true,1,0.4,Fair At Cost,,18.6,300.78,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 1, ADP 1, delta 0. Season 17.7 ppg, Week 1 18.6, risk 0.0."
2,Bijan Robinson,ATL,RB,11,1.9,true,2,-0.1,Fair At Cost,,18.49,298.98,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 2, ADP 2, delta 0. Season 17.6 ppg, Week 1 18.5, risk 0.0."
3,Ja'Marr Chase,CIN,WR,6,3.3,true,3,0.3,Fair At Cost,,16.47,267.7,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 3, ADP 3, delta 0. Season 15.7 ppg, Week 1 16.5, risk 0.0."
4,Jaxon Smith-Njigba,SEA,WR,11,6.8,true,4,2.8,Fair At Cost,,15.63,256.98,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 4, ADP 7, delta +3. Season 15.1 ppg, Week 1 15.6, risk 0.0."
5,Jonathan Taylor,IND,RB,13,7,true,5,2,Fair At Cost,,16.15,260.28,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 5, ADP 7, delta +2. Season 15.3 ppg, Week 1 16.1, risk 0.3 (15 projected games)."
6,Amon-Ra St. Brown,DET,WR,6,7.9,true,6,1.9,Fair At Cost,,15.97,253.16,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 6, ADP 8, delta +2. Season 14.9 ppg, Week 1 16.0, risk 0.0."
7,Christian McCaffrey,SF,RB,8,5.6,true,7,-1.4,Risk Discount Needed,,16.51,267.7,15,2.2,Q; tightness/returning to team drills; 15 projected games,"Still elite, but not a totally clean first-round safety pick. Treat the return-to-practice news as positive, then require a small guillotine discount.","Returned to team work after unspecified tightness and would likely play in a real game, but prior soft-tissue history still matters in Week 1 survival."
8,De'Von Achane,MIA,RB,6,15.6,true,8,7.6,Fair At Cost,,15.07,244.9,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 8, ADP 16, delta +8. Season 14.4 ppg, Week 1 15.1, risk 0.3 (15 projected games)."
9,Puka Nacua,LAR,WR,11,4.8,true,9,-4.2,Risk Discount Needed,,16.31,263.76,15,3.35,Q; Groin/psoas; possible short suspension risk; 15 projected games,"Elite WR, but not a normal first-round safety pick until the practice and discipline questions clear. Prefer safer first-round anchors unless he slides.","Market still prices him around pick 5, but guillotine needs an uncertainty discount for groin/psoas plus possible short suspension risk. Do not pay #2 overall."
10,James Cook III,BUF,RB,7,9.8,true,10,-0.2,Fair At Cost,,13.29,233.61,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 10, ADP 10, delta 0. Season 13.7 ppg, Week 1 13.3, risk 0.0."
